Species,col_mpa,col_2bp,Group,Color
Prevotella_micans,0.001829496,0.001616228,s11_12,shared
Prevotella_nanceiensis,0.000328925,0.000316697,s11_12,shared
Prevotella_nigrescens,0.004607911,0.005022948,s11_12,shared
Prevotella_oralis,1.07E-05,0.000156643,s11_12,shared
Prevotella_oris,0.00364477,0.003916505,s11_12,shared
Prevotella_oulorum,8.46E-05,0.000321912,s11_12,shared
Prevotella_pallens,0,0.000129439,s11_12,(WMS)2bRAD-M only
Prevotella_pleuritidis,0.012838288,0.013985193,s11_12,shared
Prevotella_saccharolytica,0.000440339,0.000461357,s11_12,shared
Prevotella_salivae,0,8.16E-05,s11_12,(WMS)2bRAD-M only
Prevotella_seregens,0.00176412,0.002220434,s11_12,shared
Prevotella_shahii,0,0.000151183,s11_12,(WMS)2bRAD-M only
Prevotella_sp003043925,2.54E-05,0.000532619,s11_12,shared
Prevotella_sp013333935,0,5.78E-05,s11_12,(WMS)2bRAD-M only
Prevotella_sp018127805,0.000132184,0,s11_12,(WMS)MPA only
Prevotella_sp905372445,0.000368211,0,s11_12,(WMS)MPA only
Prevotella_veroralis,0.000722509,0.000953246,s11_12,shared
Pseudoleptotrichia_goodfellowii,0.000391333,0.000765919,s11_12,shared
Ralstonia_sp000620465,0,6.76E-05,s11_12,(WMS)2bRAD-M only
Rodentibacter_sp901420285,0,0.000174197,s11_12,(WMS)2bRAD-M only
Rothia_aeria,0.008312634,0.009758051,s11_12,shared
Rothia_dentocariosa,0.013383802,0.019088742,s11_12,shared
Rothia_mucilaginosa,0.128718254,0.044409845,s11_12,shared
Rothia_mucilaginosa_A,0,0.003934287,s11_12,(WMS)2bRAD-M only
Rothia_mucilaginosa_B,0,0.071743226,s11_12,(WMS)2bRAD-M only
Rothia_sp001808955,0,0.026356536,s11_12,(WMS)2bRAD-M only
Rothia_sp902373285,0,0.001007746,s11_12,(WMS)2bRAD-M only
Saccharimonas_sp010202265,0.000214338,0.000351638,s11_12,shared
Saccharimonas_sp013333625,0,0.000603545,s11_12,(WMS)2bRAD-M only
Saccharimonas_sp013333675,0,0.000493711,s11_12,(WMS)2bRAD-M only
Saccharimonas_sp013333795,0,0.000531047,s11_12,(WMS)2bRAD-M only
Saccharimonas_sp013333845,0,0.000609451,s11_12,(WMS)2bRAD-M only
Saccharimonas_sp015257605,0.002835299,0,s11_12,(WMS)MPA only
Saccharimonas_sp018127705,7.71E-05,0,s11_12,(WMS)MPA only
Saccharimonas_sp905371715,0.000245952,0,s11_12,(WMS)MPA only
SDRW01_sp007845485,0.000316443,0.001043473,s11_12,shared
Selenomonas_sputigena,0.002033705,0.001725148,s11_12,shared
Shuttleworthia_satelles,0.000437986,0.000480823,s11_12,shared
Slackia_exigua,0.000678925,0.000891986,s11_12,shared
Streptococcus_constellatus,0.001428852,0.001614569,s11_12,shared
Streptococcus_cristatus,0.002734933,0.001814652,s11_12,shared
Streptococcus_cristatus_C,0,0.000940671,s11_12,(WMS)2bRAD-M only
Streptococcus_gordonii,0,0.000483034,s11_12,(WMS)2bRAD-M only
Streptococcus_infantis,0.001501492,0,s11_12,(WMS)MPA only
Streptococcus_intermedius,0.000289229,0.000793032,s11_12,shared
Streptococcus_koreensis,0,0.009592932,s11_12,(WMS)2bRAD-M only
Streptococcus_oralis_S,0.001251959,0,s11_12,(WMS)MPA only
Streptococcus_oralis_Z,0,0.002151261,s11_12,(WMS)2bRAD-M only
Streptococcus_rubneri,0.000737343,0.001067224,s11_12,shared
Streptococcus_sanguinis,0.012853226,0.007564234,s11_12,shared
Streptococcus_sanguinis_A,0,0.001035426,s11_12,(WMS)2bRAD-M only
Streptococcus_sanguinis_G,0,0.005149295,s11_12,(WMS)2bRAD-M only
Streptococcus_sanguinis_H,0,0.002532502,s11_12,(WMS)2bRAD-M only
Streptococcus_sanguinis_I,0,0.000823887,s11_12,(WMS)2bRAD-M only
Streptococcus_symci,0.003864633,0,s11_12,(WMS)MPA only
Streptococcus_timonensis,0.000113563,0,s11_12,(WMS)MPA only
Streptococcus_xiaochunlingii,0.005076385,0,s11_12,(WMS)MPA only
Tannerella_forsythia,0.010958252,0.013550825,s11_12,shared
Tannerella_sp002890585,0.004251465,0.004307131,s11_12,shared
Tannerella_sp003033925,0.006941996,0.006418264,s11_12,shared
Tardiphaga_sp002256345,0,1.17E-05,s11_12,(WMS)2bRAD-M only
Treponema_B_denticola,0.001478984,0.002035784,s11_12,shared
Treponema_B_denticola_A,0,0.000725773,s11_12,(WMS)2bRAD-M only
Treponema_C_lecithinolyticum,0.00195462,0.00200281,s11_12,shared
Treponema_C_maltophilum,0.000422231,0.000264821,s11_12,shared
Treponema_D_buccale,0.000155613,0.000178148,s11_12,shared
Treponema_D_paredis,0,0.000138248,s11_12,(WMS)2bRAD-M only
Treponema_D_socranskii,0,0.000150411,s11_12,(WMS)2bRAD-M only
Treponema_D_sp014334325,0,0.000160958,s11_12,(WMS)2bRAD-M only
Treponema_medium,0,0.00065512,s11_12,(WMS)2bRAD-M only
Treponema_sp000775995,0,0.000756522,s11_12,(WMS)2bRAD-M only
Treponema_sp010365865,0.001635006,0.0019561,s11_12,shared
Treponema_sp905373565,0.001187812,0,s11_12,(WMS)MPA only
Treponema_vincentii,0,0.000321483,s11_12,(WMS)2bRAD-M only
UBA1103_sp004138455,0,0.000756631,s11_12,(WMS)2bRAD-M only
UBA1103_sp013333515,0,0.000349182,s11_12,(WMS)2bRAD-M only
Veillonella_parvula_A,0.00195994,0.002650062,s11_12,shared
Veillonella_rogosae,0.003537346,0.00188416,s11_12,shared
Veillonella_sp900552445,0,0.002269241,s11_12,(WMS)2bRAD-M only
W11650_sp002999035,0.001983164,0.001407334,s11_12,shared
Abiotrophia_sp001815865,0.000511173,0,s11_14,(WMS)MPA only
Actinomyces_dentalis,0,0.00025746,s11_14,(WMS)2bRAD-M only
Actinomyces_gerencseriae,0,0.000288933,s11_14,(WMS)2bRAD-M only
Actinomyces_graevenitzii,0.000835494,0.001395713,s11_14,shared
Actinomyces_israelii,0,0.000106948,s11_14,(WMS)2bRAD-M only
Actinomyces_johnsonii,0,0.000357834,s11_14,(WMS)2bRAD-M only
Actinomyces_massiliensis,0,0.000352513,s11_14,(WMS)2bRAD-M only
Actinomyces_naeslundii,0,0.000636276,s11_14,(WMS)2bRAD-M only
Actinomyces_oris,0.000825164,0.000989808,s11_14,shared
Actinomyces_oris_A,0,0.000250373,s11_14,(WMS)2bRAD-M only
Actinomyces_oris_C,0,0.000259131,s11_14,(WMS)2bRAD-M only
Actinomyces_oris_D,0,0.00014207,s11_14,(WMS)2bRAD-M only
Actinomyces_sp000195595,0,9.04E-05,s11_14,(WMS)2bRAD-M only
Actinomyces_sp000220835,0,0.00046853,s11_14,(WMS)2bRAD-M only
Actinomyces_sp002999235,0,0.000163687,s11_14,(WMS)2bRAD-M only
Aggregatibacter_aphrophilus,0,0.001169835,s11_14,(WMS)2bRAD-M only
Aggregatibacter_kilianii,0,0.00080284,s11_14,(WMS)2bRAD-M only
Aggregatibacter_segnis,0.032924596,0.02035681,s11_14,shared
Aggregatibacter_segnis_A,0,0.006378464,s11_14,(WMS)2bRAD-M only
Aggregatibacter_sp000466335,0.003979722,0.002308462,s11_14,shared
Allisonella_pneumosintes,0.004082229,0.004991054,s11_14,shared
Alloprevotella_rava,0.000617653,0.000739565,s11_14,shared
Alloprevotella_sp003639005,0.004891727,0,s11_14,(WMS)MPA only
Alloprevotella_sp015257125,0.009461857,0,s11_14,(WMS)MPA only
Alloprevotella_sp905371275,0.025960594,0,s11_14,(WMS)MPA only
Alloprevotella_tannerae,0.011077448,0.010050045,s11_14,shared
Anaeroglobus_geminatus,7.71E-05,0.000552702,s11_14,shared
Anaeroglobus_micronuciformis,0.000205014,0.000652216,s11_14,shared
Arachnia_propionica,0,0.000174664,s11_14,(WMS)2bRAD-M only
Arachnia_sp013333945,0,0.000218312,s11_14,(WMS)2bRAD-M only
Bacillus_A_bombysepticus,0,0.000557836,s11_14,(WMS)2bRAD-M only
Bacteroides_D_sp905373475,0.002210654,0,s11_14,(WMS)MPA only
Bifidobacterium_dentium,0,0.00068828,s11_14,(WMS)2bRAD-M only
Bulleidia_extructa,0.000943336,0.001164328,s11_14,shared
Bulleidia_moorei,0,0.001038144,s11_14,(WMS)2bRAD-M only
Bulleidia_sp015256455,0.000327614,0,s11_14,(WMS)MPA only
Campylobacter_A_concisus_T,0.00127322,0,s11_14,(WMS)MPA only
Campylobacter_A_rectus,0.015957142,0.011415049,s11_14,shared
Campylobacter_A_showae,0,0.000537635,s11_14,(WMS)2bRAD-M only
Campylobacter_A_showae_A,0,0.000686774,s11_14,(WMS)2bRAD-M only
Campylobacter_A_showae_B,0,0.000441566,s11_14,(WMS)2bRAD-M only
Campylobacter_A_showae_D,0,0.000480182,s11_14,(WMS)2bRAD-M only
Campylobacter_A_showae_E,0,0.000543038,s11_14,(WMS)2bRAD-M only
Campylobacter_A_sp014253065,0,0.000423805,s11_14,(WMS)2bRAD-M only
Campylobacter_B_gracilis,0.000520367,0.000237793,s11_14,shared
Campylobacter_B_sp900539505,0,0.000184702,s11_14,(WMS)2bRAD-M only
Capnocytophaga_bilenii,0.001866126,0,s11_14,(WMS)MPA only
Capnocytophaga_endodontalis,0,0.000574795,s11_14,(WMS)2bRAD-M only
Capnocytophaga_gingivalis,1.27E-05,0.000570081,s11_14,shared
Capnocytophaga_granulosa,0,0.000384772,s11_14,(WMS)2bRAD-M only
Capnocytophaga_haemolytica,0,0.00034779,s11_14,(WMS)2bRAD-M only
Capnocytophaga_leadbetteri,0.001636365,0.002289492,s11_14,shared
Capnocytophaga_ochracea,0.000663968,0.001416253,s11_14,shared
Capnocytophaga_sp000318275,0,0.00131925,s11_14,(WMS)2bRAD-M only
Capnocytophaga_sp000466425,0.000224312,0.000430978,s11_14,shared
Capnocytophaga_sp905372595,0.000522865,0,s11_14,(WMS)MPA only
Capnocytophaga_sputigena,0.001134047,0.001246853,s11_14,shared
Cardiobacterium_hominis,0.001023934,0.001380764,s11_14,shared
Cardiobacterium_valvarum,0.000579738,0.000759291,s11_14,shared
Catonella_morbi,0.000692121,0.001768083,s11_14,shared
Centipeda_artemidis,0,0.000227025,s11_14,(WMS)2bRAD-M only
Centipeda_felix,0,0.000163713,s11_14,(WMS)2bRAD-M only
Centipeda_infelix,0,0.000227135,s11_14,(WMS)2bRAD-M only
Centipeda_massiliensis,0,0.00014694,s11_14,(WMS)2bRAD-M only
Centipeda_noxia,0,0.000296755,s11_14,(WMS)2bRAD-M only
Centipeda_periodontii,0,7.55E-05,s11_14,(WMS)2bRAD-M only
Centipeda_sp000286455,0,9.12E-05,s11_14,(WMS)2bRAD-M only
Centipeda_sp000318175,0,0.000126763,s11_14,(WMS)2bRAD-M only
Centipeda_sp000468035,0,8.31E-05,s11_14,(WMS)2bRAD-M only
Centipeda_sp001683335,0,0.000219583,s11_14,(WMS)2bRAD-M only
Centipeda_sp001717585,0,7.69E-05,s11_14,(WMS)2bRAD-M only
Corynebacterium_durum,0,0.000205088,s11_14,(WMS)2bRAD-M only
Corynebacterium_matruchotii,0.00476663,0.004974323,s11_14,shared
Cutibacterium_acnes,0,0.000213619,s11_14,(WMS)2bRAD-M only
Desulfobulbus_oralis,0.000894978,0.001160663,s11_14,shared
Dialister_invisus,0.001208401,0.002578018,s11_14,shared
Eikenella_corrodens,0,0.001047698,s11_14,(WMS)2bRAD-M only
Eubacterium_A_minutum,0,0.00025706,s11_14,(WMS)2bRAD-M only
Eubacterium_A_nodatum,0,0.033540808,s11_14,(WMS)2bRAD-M only
Eubacterium_B_infirmum,0.000683493,0.00081544,s11_14,shared
Eubacterium_B_sulci,0,0.000400983,s11_14,(WMS)2bRAD-M only
Eubacterium_M_brachy,0.020230308,0.019345359,s11_14,shared
F0040_sp000318095,0,0.000815325,s11_14,(WMS)2bRAD-M only
F0040_sp003639005,0,0.005002266,s11_14,(WMS)2bRAD-M only
F0040_sp900095835,0,0.001840641,s11_14,(WMS)2bRAD-M only
F0058_sp000163695,0.00753795,0.005325331,s11_14,shared
F0058_sp905372605,0.000312743,0,s11_14,(WMS)MPA only
F0422_sp001553345,0,0.002362604,s11_14,(WMS)2bRAD-M only
F0422_sp003992055,8.50E-05,0.001210495,s11_14,shared
Filifactor_alocis,0.043079141,0.036789821,s11_14,shared
Flexilinea_sp001717545,0,0.000349615,s11_14,(WMS)2bRAD-M only
Fretibacterium_fastidiosum,0.004796599,0.004159735,s11_14,shared
Fretibacterium_sp003860125,0,0.000215357,s11_14,(WMS)2bRAD-M only
Fusobacterium_animalis,0.00366346,0,s11_14,(WMS)MPA only
Fusobacterium_nucleatum,0.001245068,0,s11_14,(WMS)MPA only
Fusobacterium_nucleatum_J,0.033852721,0.035088625,s11_14,shared
Fusobacterium_polymorphum,0.003922281,0,s11_14,(WMS)MPA only
Fusobacterium_pseudoperiodonticum,0.0047647,0,s11_14,(WMS)MPA only
Fusobacterium_vincentii,0.005146575,0,s11_14,(WMS)MPA only
Gemella_haemolysans,0,0.002967347,s11_14,(WMS)2bRAD-M only
Gemella_haemolysans_B,0.010414047,0.006469885,s11_14,shared
Gemella_morbillorum,0.021126761,0.018220394,s11_14,shared
Gemella_sanguinis,0.005019208,0.005539249,s11_14,shared
GN02-872_sp003260325,0.003322224,0.003944712,s11_14,shared
GN02-873_sp003260345,0.001452579,0.001312075,s11_14,shared
Granulicatella_adiacens,0.001278669,0.001984987,s11_14,shared
Granulicatella_elegans,0.008070691,0.002592017,s11_14,shared
Granulicatella_sp001058355,0.004695454,0.003698692,s11_14,shared
Granulicatella_sp001071995,0,0.000867933,s11_14,(WMS)2bRAD-M only
Granulicatella_sp900551535,0,0.001257463,s11_14,(WMS)2bRAD-M only
Haemophilus_A_parahaemolyticus,0.003149903,0.00405113,s11_14,shared
Haemophilus_A_sputorum,0.025747747,0.025905745,s11_14,shared
Haemophilus_D_parainfluenzae,0.022224142,0.009554495,s11_14,shared
Haemophilus_D_parainfluenzae_A,0,0.001037567,s11_14,(WMS)2bRAD-M only
Haemophilus_D_parainfluenzae_K,0,0.006592739,s11_14,(WMS)2bRAD-M only
Haemophilus_D_parainfluenzae_L,0,0.002348731,s11_14,(WMS)2bRAD-M only
Haemophilus_D_parainfluenzae_M,0,0.001105312,s11_14,(WMS)2bRAD-M only
Haemophilus_D_sp001679485,0,0.001706343,s11_14,(WMS)2bRAD-M only
Haemophilus_D_sp001815355,0,0.002643663,s11_14,(WMS)2bRAD-M only
Haemophilus_D_sp900756875,0,0.002552744,s11_14,(WMS)2bRAD-M only
Haemophilus_haemolyticus,0,0.003882663,s11_14,(WMS)2bRAD-M only
Haemophilus_influenzae,0.003003578,0,s11_14,(WMS)MPA only
Hornefia_nodata,0.041144223,0,s11_14,(WMS)MPA only
HOT-345_sp003260355,0,0.000742259,s11_14,(WMS)2bRAD-M only
HOT-345_sp013333295,0.000569861,0,s11_14,(WMS)MPA only
HOT-345_sp013333605,0.001575406,0.001853103,s11_14,shared
JABCPE02_sp013333255,0.002122791,0.001611006,s11_14,shared
JABCPE02_sp013333875,0,0.000906044,s11_14,(WMS)2bRAD-M only
JABCPH02_sp013333235,0.002197259,0.002209105,s11_14,shared
Johnsonella_ignava,0.000169823,0.000499228,s11_14,shared
Johnsonella_sp900766185,5.11E-05,0.000528371,s11_14,shared
Kingella_A_denitrificans,0.000659768,0.001076762,s11_14,shared
Kingella_B_oralis,0.000149617,0.000360016,s11_14,shared
Klebsiella_pneumoniae,0,0.000163779,s11_14,(WMS)2bRAD-M only
Lachnoanaerobaculum_orale,0,0.000579817,s11_14,(WMS)2bRAD-M only
Lachnoanaerobaculum_sp000209465,3.66E-05,0,s11_14,(WMS)MPA only
Lachnoanaerobaculum_sp000287675,0.000410595,0,s11_14,(WMS)MPA only
Lancefieldella_rimae,0.00155361,0.001018676,s11_14,shared
Lancefieldella_sp000564995,0,0.000763612,s11_14,(WMS)2bRAD-M only
Lautropia_dentalis,0,8.01E-05,s11_14,(WMS)2bRAD-M only
Lautropia_mirabilis,0.006981143,0.004152181,s11_14,shared
Leptotrichia_A_sp000469505,0.002568917,0.002167117,s11_14,shared
Leptotrichia_A_sp001274535,0.002737719,0.001697575,s11_14,shared
Leptotrichia_buccalis,0.029023088,0.015278172,s11_14,shared
Leptotrichia_hofstadii,0.001388328,0.00394584,s11_14,shared
Leptotrichia_hongkongensis,0.000767156,0,s11_14,(WMS)MPA only
Leptotrichia_massiliensis,0.00668259,0.00487342,s11_14,shared
Leptotrichia_shahii,0,0.00191188,s11_14,(WMS)2bRAD-M only
Leptotrichia_sp000469385,0,0.003468728,s11_14,(WMS)2bRAD-M only
Leptotrichia_sp002240055,0.002425657,0.002694415,s11_14,shared
Leptotrichia_sp013394795,0,0.001237099,s11_14,(WMS)2bRAD-M only
Leptotrichia_trevisanii,0.002056837,0.004154735,s11_14,shared
Leptotrichia_wadei,0,0.006771489,s11_14,(WMS)2bRAD-M only
Leptotrichia_wadei_A,0.006974559,0.005538271,s11_14,shared
Mesocricetibacter_sp905373425,0.000152455,0,s11_14,(WMS)MPA only
Mitsuokella_sp000469545,0,5.68E-05,s11_14,(WMS)2bRAD-M only
Mogibacterium_diversum,0,0.000469037,s11_14,(WMS)2bRAD-M only
Mogibacterium_timidum,0.007762035,0.00996239,s11_14,shared
Mycobacterium_tuberculosis,0,4.37E-05,s11_14,(WMS)2bRAD-M only
Nanogingivalis_gingivitcus,0.003139006,0,s11_14,(WMS)MPA only
Nanogingivalis_sp900555945,0.001039373,0,s11_14,(WMS)MPA only
Neisseria_cinerea,0.001729791,0.002931802,s11_14,shared
Neisseria_elongata,0.00052627,0.001722541,s11_14,shared
Neisseria_flavescens_B,0,0.002086802,s11_14,(WMS)2bRAD-M only
Neisseria_flavescens_C,0,0.001144841,s11_14,(WMS)2bRAD-M only
Neisseria_mucosa,0.000610955,0,s11_14,(WMS)MPA only
Neisseria_mucosa_A,0,0.002726996,s11_14,(WMS)2bRAD-M only
Neisseria_sicca_B,0.002946025,0.004987376,s11_14,shared
Neisseria_sp000090875,0.019444308,0.012952729,s11_14,shared
Neisseria_sp000186165,0,0.008665982,s11_14,(WMS)2bRAD-M only
Neisseria_sp000227275,0,0.001173641,s11_14,(WMS)2bRAD-M only
Neisseria_sp002237445,0.000472463,0.00070914,s11_14,shared
Neisseria_subflava,0,0.005290389,s11_14,(WMS)2bRAD-M only
Neisseria_subflava_A,0,0.018127878,s11_14,(WMS)2bRAD-M only
Neisseria_subflava_B,0,0.001489101,s11_14,(WMS)2bRAD-M only
Neisseria_subflava_C,0.03937209,0.004203642,s11_14,shared
Olsenella_phocaeensis,0,0.000345535,s11_14,(WMS)2bRAD-M only
Olsenella_sp001189515,0,0.000182594,s11_14,(WMS)2bRAD-M only
Olsenella_uli,0,0.000140832,s11_14,(WMS)2bRAD-M only
Oribacterium_asaccharolyticum,0,0.000863731,s11_14,(WMS)2bRAD-M only
Oribacterium_sinus,0.001777014,0.002542868,s11_14,shared
Oribacterium_sp000160135,0,0.000204508,s11_14,(WMS)2bRAD-M only
Oribacterium_sp015258095,0.000882264,0,s11_14,(WMS)MPA only
Ottowia_sp001262075,0.000533309,0.001021815,s11_14,shared
Parascardovia_denticolens,0,0.000307721,s11_14,(WMS)2bRAD-M only
Parvimonas_micra,0.007883613,0.009740232,s11_14,shared
Pauljensenia_hongkongensis,0,0.00027901,s11_14,(WMS)2bRAD-M only
Pauljensenia_odontolytica_A,0,0.000207849,s11_14,(WMS)2bRAD-M only
Pauljensenia_odontolytica_B,0,0.00030233,s11_14,(WMS)2bRAD-M only
Pauljensenia_odontolytica_C,0,0.000318166,s11_14,(WMS)2bRAD-M only
Pauljensenia_sp000185285,0,0.000229489,s11_14,(WMS)2bRAD-M only
Pauljensenia_sp000278725,0.000330452,0.000701135,s11_14,shared
Pauljensenia_sp000411415,0,0.000293429,s11_14,(WMS)2bRAD-M only
Pauljensenia_sp000758755,0,0.00019748,s11_14,(WMS)2bRAD-M only
Pauljensenia_sp900556405,0,0.000153277,s11_14,(WMS)2bRAD-M only
Peptidiphaga_gingivicola,0.00011227,0.000484429,s11_14,shared
Peptidiphaga_sp000466165,0.001417502,0.002148236,s11_14,shared
Peptoanaerobacter_margaretiae,0,0.001355774,s11_14,(WMS)2bRAD-M only
Peptoanaerobacter_stomatis,0.000217728,0.001790538,s11_14,shared
Peptostreptococcus_stomatis,0.000576673,0,s11_14,(WMS)MPA only
Phocaeicola_abscessus,0.000286066,0.000728038,s11_14,shared
Porphyromonas_catoniae,0.002125629,0.003436267,s11_14,shared
Porphyromonas_endodontalis,0.067373968,0.041389081,s11_14,shared
Porphyromonas_gingivalis,0,0.000433898,s11_14,(WMS)2bRAD-M only
Porphyromonas_pasteri,0.0049486,0.005102883,s11_14,shared
Porphyromonas_sp000467855,0,0.000185302,s11_14,(WMS)2bRAD-M only
Prevotella_baroniae,0.010181449,0.010620643,s11_14,shared
Prevotella_buccae,0,0.000313689,s11_14,(WMS)2bRAD-M only
Prevotella_conceptionensis,0.002234038,0.002800873,s11_14,shared
Prevotella_denticola,0.002261056,0.003763187,s11_14,shared
Prevotella_enoeca,0.000544547,0.000853346,s11_14,shared
Prevotella_histicola,0.002181025,0.002843983,s11_14,shared
Prevotella_intermedia,0.034027085,0.041219078,s11_14,shared
Prevotella_jejuni,0.000219544,0.001902114,s11_14,shared
Prevotella_koreensis,0.012048596,0.009946904,s11_14,shared
Prevotella_loescheii,0.003242761,0.002998392,s11_14,shared
Prevotella_maculosa,8.82E-05,0.00045536,s11_14,shared
Prevotella_marshii,0,0.000275519,s11_14,(WMS)2bRAD-M only
Prevotella_melaninogenica,0.023227529,0.018493671,s11_14,shared
Prevotella_melaninogenica_A,0,0.00489954,s11_14,(WMS)2bRAD-M only
Prevotella_micans,0,0.000333608,s11_14,(WMS)2bRAD-M only
Prevotella_multiformis,0.001588233,0.001768099,s11_14,shared
Prevotella_multisaccharivorax,9.33E-05,0.0004361,s11_14,shared
Prevotella_nanceiensis,0.00486278,0.002840308,s11_14,shared
Prevotella_nigrescens,0.010739504,0.011387369,s11_14,shared
Prevotella_oralis,0,0.000409136,s11_14,(WMS)2bRAD-M only
Prevotella_oris,0.004395993,0.004506515,s11_14,shared
Prevotella_oulorum,0.000195024,0.000596868,s11_14,shared
Prevotella_pallens,0.002952041,0.003601489,s11_14,shared
Prevotella_pleuritidis,0.02010453,0.022005107,s11_14,shared
Prevotella_salivae,0,0.000445316,s11_14,(WMS)2bRAD-M only
Prevotella_scopos,0,0.001117522,s11_14,(WMS)2bRAD-M only
Prevotella_seregens,1.57E-05,0.000394212,s11_14,shared
Prevotella_shahii,0,0.000214635,s11_14,(WMS)2bRAD-M only
Prevotella_sp000163055,0,0.000408872,s11_14,(WMS)2bRAD-M only
Prevotella_sp000257925,0.000965018,0.001423211,s11_14,shared
Prevotella_sp000467895,0.006666244,0.005317001,s11_14,shared
Prevotella_sp003043925,0,0.0002516,s11_14,(WMS)2bRAD-M only
Prevotella_sp013333285,0,0.00030911,s11_14,(WMS)2bRAD-M only
Prevotella_sp013333935,0,0.000377609,s11_14,(WMS)2bRAD-M only
Prevotella_sp900540375,0,0.000138783,s11_14,(WMS)2bRAD-M only
Prevotella_sp905372445,0.001151415,0,s11_14,(WMS)MPA only
Prevotella_veroralis,0.0003888,0.00086657,s11_14,shared
Pseudoramibacter_alactolyticus,0.000182197,0.000399452,s11_14,shared
Rodentibacter_sp901420285,0,0.000477443,s11_14,(WMS)2bRAD-M only
Rothia_aeria,0.001975898,0.002412343,s11_14,shared
Rothia_dentocariosa,0.001681999,0.003076832,s11_14,shared
Rothia_mucilaginosa,0.005242725,0.003973549,s11_14,shared
Rothia_mucilaginosa_A,0.001118381,0.001930564,s11_14,shared
Rothia_mucilaginosa_B,0,0.002225922,s11_14,(WMS)2bRAD-M only
Rothia_sp001808955,0,0.001421444,s11_14,(WMS)2bRAD-M only
Saccharimonas_sp010202265,0,0.000624874,s11_14,(WMS)2bRAD-M only
Saccharimonas_sp013333675,0,0.000261337,s11_14,(WMS)2bRAD-M only
Saccharimonas_sp015257605,0.001387306,0,s11_14,(WMS)MPA only
Scardovia_wiggsiae,9.77E-05,0.000513777,s11_14,shared
Selenomonas_sputigena,0.000248378,0.000726013,s11_14,shared
Shuttleworthia_satelles,0.000581781,0.000566383,s11_14,shared
Simonsiella_muelleri,0,0.000226511,s11_14,(WMS)2bRAD-M only
Slackia_exigua,0,0.000262389,s11_14,(WMS)2bRAD-M only
Stomatobaculum_longum,0,0.000141191,s11_14,(WMS)2bRAD-M only
Streptococcus_anginosus,0.001222251,0,s11_14,(WMS)MPA only
Streptococcus_anginosus_C,0,0.002575976,s11_14,(WMS)2bRAD-M only
Streptococcus_chosunense,0,0.010445196,s11_14,(WMS)2bRAD-M only
Streptococcus_cristatus,0.001637273,0.002347371,s11_14,shared
Streptococcus_gordonii,0.001466088,0.002980435,s11_14,shared
Streptococcus_infantis,0.003775729,0,s11_14,(WMS)MPA only
Streptococcus_koreensis,0,0.001837976,s11_14,(WMS)2bRAD-M only
Streptococcus_mitis,0,0.007900071,s11_14,(WMS)2bRAD-M only
Streptococcus_mitis_O,0,0.019176771,s11_14,(WMS)2bRAD-M only
Streptococcus_oralis_S,0.01517012,0,s11_14,(WMS)MPA only
Streptococcus_parasanguinis,0,0.003077641,s11_14,(WMS)2bRAD-M only
Streptococcus_parasanguinis_B,0.007388901,0.009323461,s11_14,shared
Streptococcus_pneumoniae,0,0.003703158,s11_14,(WMS)2bRAD-M only
Streptococcus_pneumoniae_D,0,0.006904292,s11_14,(WMS)2bRAD-M only
Streptococcus_pseudopneumoniae_O,0,0.013427481,s11_14,(WMS)2bRAD-M only
Streptococcus_salivarius,0.032085242,0.041418087,s11_14,shared
Streptococcus_sanguinis,0.019097056,0.022511208,s11_14,shared
Streptococcus_sanguinis_H,0,0.002245576,s11_14,(WMS)2bRAD-M only
Streptococcus_sinensis,0.002720237,0.002921068,s11_14,shared
Streptococcus_sp000220065,0.000428418,0,s11_14,(WMS)MPA only
Streptococcus_sp001587175,0,0.006205784,s11_14,(WMS)2bRAD-M only
Streptococcus_symci,0.056212971,0,s11_14,(WMS)MPA only
Streptococcus_xiaochunlingii,0.003012773,0,s11_14,(WMS)MPA only
Tannerella_forsythia,0.017516201,0.021578814,s11_14,shared
Tannerella_sp002890585,0,0.00015301,s11_14,(WMS)2bRAD-M only
Tannerella_sp003033925,0.001020415,0.001080521,s11_14,shared
Treponema_B_denticola,0.00346117,0.005197246,s11_14,shared
Treponema_B_denticola_A,0,0.002499274,s11_14,(WMS)2bRAD-M only
Treponema_B_putidum,0,0.000318041,s11_14,(WMS)2bRAD-M only
Treponema_C_lecithinolyticum,0.001277534,0.001467301,s11_14,shared
Treponema_C_maltophilum,0,0.000243482,s11_14,(WMS)2bRAD-M only
Treponema_D_buccale,0,0.000153095,s11_14,(WMS)2bRAD-M only
Treponema_D_paredis,0,9.99E-05,s11_14,(WMS)2bRAD-M only
Treponema_D_socranskii,0,0.000219575,s11_14,(WMS)2bRAD-M only
Treponema_D_sp014334325,0,0.000112422,s11_14,(WMS)2bRAD-M only
Treponema_D_sp905372235,0.003248778,0,s11_14,(WMS)MPA only
Treponema_medium,0,0.000673604,s11_14,(WMS)2bRAD-M only
Treponema_sp000775995,0,0.000640033,s11_14,(WMS)2bRAD-M only
Treponema_sp010365865,0,0.000829289,s11_14,(WMS)2bRAD-M only
Treponema_sp905373565,0.000678044,0,s11_14,(WMS)MPA only
Treponema_vincentii,0,0.000633874,s11_14,(WMS)2bRAD-M only
UBA1103_sp004138455,0,0.000752788,s11_14,(WMS)2bRAD-M only
